Month,Promo,Count,Weight,Profit
8,0,67,54,-0.5881422924901186
9,1,90,59,0.029613578909353556
10,1,59,51,0.017924432223240656
8,0,14,88,1.3552606989347786
8,0,14,53,-0.2768993443887389
8,0,51,87,0.39363153904473086
8,1,9,94,0.9466292134831461
8,0,45,92,-0.02037298229117693
8,0,31,60,-0.7672541216600341
8,1,41,78,0.5089820359281437
10,1,55,88,0.24574556705938355
8,1,91,80,0.4984138831871618
8,0,29,41,-0.10405105438401775
10,0,55,85,1.8050992890414317
11,0,27,53,-0.5047937908994065
7,0,55,50,-0.9279193835210433
4,0,79,99,-0.7181094767301663
8,0,40,54,0.2286505007907222
12,0,87,53,-0.8172449330127104
8,1,63,69,0.6536773507115308
11,0,39,91,-0.09497206703910614
4,0,29,80,0.025261638397690366
5,0,38,94,-0.1643419572553431
9,1,17,98,1.382248782647189
6,0,94,72,-0.6890364509748517
9,1,21,88,-0.9418742586002372
5,0,53,90,1.5219367243488902
3,1,27,85,-0.06451106576675561
1,0,62,80,0.84354558803898
6,0,39,87,-0.4823271413828689
9,1,46,77,-0.7604627910298529
11,1,91,46,-0.9648715343300914
7,1,70,40,-0.03585291113381001
1,0,26,56,-0.33978906999041225
5,0,41,48,-0.033033707865168536
12,0,67,57,0.8224708171206225
10,0,81,81,0.1356222311719694
5,1,42,60,-0.40909791827293757
7,1,43,47,0.6138174219668278
5,0,30,56,1.8124144226380647
4,1,17,59,0.028587656190836804
3,0,10,97,0.6623650250197525
9,0,62,77,-0.7334607117267733
4,0,13,54,-0.7004889975550123
8,1,37,84,1.678049705938152
7,1,84,44,-0.7037459051417178
6,0,94,62,-0.5086749285033365
7,0,67,40,-0.3944146079484425
1,0,17,92,2.0095299978340915
3,0,17,93,0.23342347214710654
3,1,23,69,1.1972757162987318
9,1,44,93,-0.9750672207284282
7,0,25,66,0.012660206314473272
5,0,44,95,-0.033946251768033946
6,1,93,74,-0.6904839586731919
8,1,19,88,-0.03431468122441022
5,0,42,67,0.09120429196668078
7,0,5,42,0.9403741231488698
6,1,29,67,-0.4156914622977511
10,1,65,55,-0.5423058485139022
12,1,55,61,0.11174934725848563
9,1,71,89,-0.5453326629797218
8,1,95,60,-0.8714582649600701
8,0,3,80,-0.0749828021096079
3,1,81,73,-0.6043468618318918
5,0,70,96,0.7839851024208566
